0.0333333;0.0405904
0.0285714;0.0264151
0.025;0.0258303
0.0222222;0.0153846
0.02;0.0431655
0.0181818;0.0472727
0.0166667;0.080292
0.0153846;0.0309278
0.0142857;0.0592593
0.0133333;0.0940767
0.0125;0.0985915
0.0117647;0.114983
0.0111111;0.0963455
0.0105263;0.185714
0.01;0.204013
0.00952381;0.251748
0.00909091;0.268456
0.00869565;0.246753
0.00833333;0.373239
0.008;0.371622
0.00769231;0.41958
0.00740741;0.416667
0.00714286;0.416949
0.00689655;0.519713
0.00666667;0.553957
0.00645161;0.565836
0.00625;0.560976
0.00606061;0.554795
0.00588235;0.554054
0.00571429;0.655914
0.00555556;0.646643
0.00540541;0.642105
0.00526316;0.638889
0.00512821;0.647059
0.005;0.721429
0.00487805;0.716312
0.0047619;0.71831
0.00465116;0.731449
0.00454545;0.733333
0.00444444;0.770609
0.00434783;0.710345
0.00425532;0.765957
0.00416667;0.77305
